Rank,University Name,Official Website,City,Country,Study Level,Bachelor,Master,Program Category,Program Name,Program URL,Course Intensity,Full Time,Part Time,Study Mode,On Campus,Online,Hybrid,Programme Duration,eu,non eu,arab,lebanese,pal,us,TOEFL,IELTS,SAT,GPA,Languages,english,french,arabic,german,spanish,catalan,italian,Engineering,Computing & Technology,Data Science & Artificial Intelligence,Health & Medicine,Life Sciences,Natural & Physical Sciences,Social Sciences,Psychology & Behavioral Sciences,Business & Management,Law & Governance,Education,"Arts, Design & Architecture",Humanities & Languages,Environment & Agriculture,Media & Communication,Hospitality & Tourism,Sports & Events,"Transport, Aviation & Maritime",Interdisciplinary & Emerging Fields
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,Cambridge,United States,Bachelor,1,0,Engineering,Electrical  Engineering with Computing,https://catalog.mit.edu/degree-charts/electrical-Engineering and Technology -computing-6-5/,Full Time,1,0,On Campus,1,0,0,4,57590,57590,57590,57590,57590,57590,90,7,,,English,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,Cambridge,United States,Master,0,1,"Arts, Design & Architecture",Music Technology and Computation,https://catalog.mit.edu/degree-charts/master-music-technology-computation/,Full Time,1,0,On Campus,1,0,0,2,90960,90960,90960,90960,90960,90960,100,7,,,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,Cambridge,United States,Master,0,1,Social Sciences,"Applied Science in Data, Economics, and Design of Policy",https://catalog.mit.edu/degree-charts/master-applied-science-data-economics-design-policy/,Full Time,1,0,On Campus,1,0,0,2,90960,90960,90960,90960,90960,90960,100,7,,,English,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,Cambridge,United States,Master,0,1,Engineering,Electrical  Engineering and Computer Science,https://catalog.mit.edu/degree-charts/master-electrical-Engineering and Technology -computer-science-course-6-p/,Full Time,1,0,On Campus,1,0,0,2,90960,90960,90960,90960,90960,90960,100,7,,,English,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,Cambridge,United States,Master,0,1,Data Science & Artificial Intelligence, Computation and Cognition,https://catalog.mit.edu/degree-charts/master-computation-cognition-course-6-9p/,Full Time,1,0,On Campus,1,0,0,2,90960,90960,90960,90960,90960,90960,100,7,,,English,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,Cambridge,United States,Master,0,1,"Arts, Design & Architecture",Architecture,Master of Architecture | MIT Course Catalog,Full Time,1,0,On Campus,1,0,0,2,90960,90960,90960,90960,90960,90960,100,7,,,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,Stanford University,https://www.stanford.edu/,Stanford,United States,Master,0,1,"Transport, Aviation & Maritime",Aeronautics and Astronautics ,https://online.stanford.edu/programs/aeronautics-and-astronautics-ms-degree,Part Time,0,1,Online,0,1,0,5,60840,60840,60840,60840,60840,60840,101,,,3.72,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Stanford University,https://www.stanford.edu/,Stanford,United States,Master,0,1,Engineering,Chemical  Engineering,https://online.stanford.edu/programs/chemical-Engineering and Technology -ms-degree,Part Time,0,1,Online,0,1,0,5,60840,60840,60840,60840,60840,60840,101,,,3.72,English,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Stanford University,https://www.stanford.edu/,Stanford,United States,Master,0,1,Engineering,Civil and Environmental  Engineering ,https://online.stanford.edu/programs/civil-and-environmental-Engineering and Technology -ms-degree,Part Time,0,1,Online,0,1,0,5,60840,60840,60840,60840,60840,60840,101,,,3.72,English,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Stanford University,https://www.stanford.edu/,Stanford,United States,Master,0,1,Engineering,Computational and Mathematical  Engineering ,https://online.stanford.edu/programs/computational-and-mathematical-Engineering and Technology -ms-degree,Part Time,0,1,Blended,0,0,1,5,60840,60840,60840,60840,60840,60840,101,,,3.72,English,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
