mode,model,hybrid_ml_weight,students_evaluated,precision@3,hit_rate@3,ndcg@3,suitability_precision@3,suitability_hit_rate@3,avg_suitability@3
seen_allowed,Rule-based,,247,0.3333333333333333,0.6518218623481782,0.3593349691203592,,,
seen_allowed,ML-only,,247,0.46558704453441296,0.7327935222672065,0.4729154381780656,,,
seen_allowed,Hybrid,dynamic,247,0.8178137651821862,0.8947368421052632,0.8419076754874445,,,
cold_start,Rule-based,,237,,,,0.569620253164557,0.6877637130801688,0.8473980309423348
cold_start,ML-only,,237,,,,0.6019690576652603,0.7468354430379747,0.8436474449132677
cold_start,Hybrid,dynamic,237,,,,0.5668073136427566,0.6962025316455697,0.8436474449132677
